81,0
0,-20
0.5,-19.9937
1,-19.975
1.5,-19.9437
2,-19.8997
2.5,-19.8431
3,-19.7737
3.5,-19.6914
4,-19.5959
4.5,-19.4872
5,-19.3649
5.5,-19.2289
6,-19.0788
6.5,-18.9143
7,-18.735
7.5,-18.5405
8,-18.3303
8.5,-18.1039
9,-17.8606
9.5,-17.5997
10,-17.3205
10.5,-17.022
11,-16.7033
11.5,-16.3631
12,-16
12.5,-15.6125
13,-15.1987
13.5,-14.7564
14,-14.2829
14.5,-13.775
15,-13.2288
15.5,-12.6392
16,-12
16.5,-11.3027
17,-10.5357
17.5,-9.68246
18,-8.7178
18.5,-7.59934
19,-6.245
19.5,-4.4441
20,0
19.5,4.4441
19,6.245
18.5,7.59934
18,8.7178
17.5,9.68246
17,10.5357
16.5,11.3027
16,12
15.5,12.6392
15,13.2288
14.5,13.775
14,14.2829
13.5,14.7564
13,15.1987
12.5,15.6125
12,16
11.5,16.3631
11,16.7033
10.5,17.022
10,17.3205
9.5,17.5997
9,17.8606
8.5,18.1039
8,18.3303
7.5,18.5405
7,18.735
6.5,18.9143
6,19.0788
5.5,19.2289
5,19.3649
4.5,19.4872
4,19.5959
3.5,19.6914
3,19.7737
2.5,19.8431
2,19.8997
1.5,19.9437
1,19.975
0.5,19.9937
0,20
